name,type,category,price,quantity
Product 0,Home Decor,Apparel & Fashion,94.64,72
Product 1,Clothing,Books & Literature,174.09,32
Product 2,Books,Home & Garden,460.79,81
Product 3,Books,Electronics & Gadgets,319.4,79
Product 4,Clothing,Home & Garden,325.07,54
Product 5,Clothing,Toys & Games,288.17,31
Product 6,Home Decor,Home & Garden,140.83,1
Product 7,Home Decor,Home & Garden,460.74,67
Product 8,Electronics,Toys & Games,127.14,64
Product 9,Electronics,Apparel & Fashion,340.63,50
Product 10,Electronics,Toys & Games,158.0,45
Product 11,Electronics,Books & Literature,112.11,75
Product 12,Toys & Games,Books & Literature,203.61,92
Product 13,Clothing,Toys & Games,433.29,42
Product 14,Clothing,Electronics & Gadgets,476.51,38
Product 15,Electronics,Apparel & Fashion,334.92,63
Product 16,Toys & Games,Books & Literature,330.7,94
Product 17,Toys & Games,Books & Literature,413.58,2
Product 18,Home Decor,Toys & Games,234.34,33
Product 19,Electronics,Electronics & Gadgets,20.94,34
Product 20,Electronics,Apparel & Fashion,67.16,5
Product 21,Toys & Games,Apparel & Fashion,227.73,44
Product 22,Electronics,Apparel & Fashion,43.1,29
Product 23,Books,Apparel & Fashion,492.42,22
Product 24,Electronics,Apparel & Fashion,421.6,37
Product 25,Books,Toys & Games,53.85,26
Product 26,Toys & Games,Electronics & Gadgets,274.48,99
Product 27,Home Decor,Books & Literature,275.14,52
Product 28,Clothing,Toys & Games,194.22,6
Product 29,Home Decor,Toys & Games,60.55,24
Product 30,Clothing,Toys & Games,41.08,63
Product 31,Toys & Games,Electronics & Gadgets,359.14,69
Product 32,Electronics,Electronics & Gadgets,90.29,81
Product 33,Home Decor,Books & Literature,56.31,79
Product 34,Toys & Games,Electronics & Gadgets,124.76,77
Product 35,Clothing,Books & Literature,301.52,51
Product 36,Books,Books & Literature,477.79,80
Product 37,Home Decor,Electronics & Gadgets,277.03,11
Product 38,Books,Apparel & Fashion,29.73,12
Product 39,Home Decor,Home & Garden,142.37,13
Product 40,Books,Toys & Games,481.61,69
